"","metric","level","levelName","vName","value","rank_overall","rank_byLevel"
"1","EC",1,"Functional purposes","Cultural heritage and sense of place",0.00135947602720366,468,5
"2","EC",1,"Functional purposes","Economic opportunity",0.00109047812944907,472,8
"3","EC",1,"Functional purposes","Globalised connectivity",0.00121683563262895,471,7
"4","EC",1,"Functional purposes","Knowledge transfer and diffusion of innovation",0.00148452474243873,467,4
"5","EC",1,"Functional purposes","Physical settlement",0.0023247198631794,455,1
"6","EC",1,"Functional purposes","Pooling of resources",0.0012350836628491,470,6
"7","EC",1,"Functional purposes","Safety and security",0.00203699726034018,462,3
"8","EC",1,"Functional purposes","Social opportunity and care",0.00204272247124486,461,2
"9","EC",2,"Values and priority measures","Collective identity and community support",0.0113194106327371,416,7
"10","EC",2,"Values and priority measures","Comprehensive security and rule of law",0.00580933111218062,440,12
"11","EC",2,"Values and priority measures","Diverse livelihoods and employment",0.00558268012229529,441,13
"12","EC",2,"Values and priority measures","Effective leadership and management",0.00986452101114413,425,10
"13","EC",2,"Values and priority measures","Effective provision of critical services",0.0139072477073127,403,3
"14","EC",2,"Values and priority measures","Effective safeguards to human health and life",0.0115846907804834,415,6
"15","EC",2,"Values and priority measures","Empowered stakeholders",0.00866450933487712,430,11
"16","EC",2,"Values and priority measures","Environmental sustainability",0.0124990143301371,406,4
"17","EC",2,"Values and priority measures","Integrated development and planning",0.0106484789158416,419,9
"18","EC",2,"Values and priority measures","Minimal vulnerability",0.0178191643702554,380,2
"19","EC",2,"Values and priority measures","Reduced exposure and fragility",0.0108211506792242,417,8
"20","EC",2,"Values and priority measures","Reliable communications and mobility",0.00454788019887124,444,14
"21","EC",2,"Values and priority measures","Socio-economic equality and equity",0.0254582564050911,341,1
"22","EC",2,"Values and priority measures","Sustainable economy",0.012479023666364,407,5
"23","EC",3,"Generalised functions","Animal welfare",0.0222757545281671,360,26
"24","EC",3,"Generalised functions","Biological hazard regulation",0.0739710699042164,242,7
"25","EC",3,"Generalised functions","Ceremonies and services for major life events",0.00970358595120164,426,36
"26","EC",3,"Generalised functions","Clean air",0.011969079281627,410,32
"27","EC",3,"Generalised functions","Clean water",0.065078864993213,251,9
"28","EC",3,"Generalised functions","Clothing provision",0.00993848627583847,424,35
"29","EC",3,"Generalised functions","Communication systems",0.0442509278527293,296,19
